State,Bill Number,CCNegative,NegorPos,# of Sponsors,% Republican Party,PartyScore,Committee Intro,YearIntro,Date Introduced,Bill Title,Disposition,Date of Furthest Progression,"Progress (1, 2, 2, 3)",Open States Link,Negative,Adoption or Enabling,Alignment,Appropriation,Legislative Approbation,Legislative Disapprobation,Review,Revocation,Other,A: Accountability Systems,A: Assessment,A: Charter and Private Schools,A: Career Technical Education,A: College- and Career-Readiness,A: Curriculum (Instructional Materials),A: Early Childhood Education,A: Educ Evaluations,A: Educ Prep Program,A: Educ Prof Development,A: English Language Learners,A: Higher Education,A: HS Grad Requirements,A: Innovation Zones,A: Instruction,A: Juvenile Court Schools,A: K-3 Reading Proficiency,A: Online Course Offerings,A: School Accreditation / Performance Rating System,A: Students w/ Cognitive Disabilities,A: Supplemental Educational Services,A: Technological Infrastructure,,,,,
Minnesota,MN S 1030,1,Negative,1,1,1,,2011,3/24/11,Education,Pending - Carryover,3/31/11,2,http://openstates.org/mn/bills/2011-2012/SF1030/,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,MN H 1381 (MN S 1167),1,Negative,4,0.5,0,,2011,4/5/11,Education,Vetoed,5/21/11,2,http://openstates.org/mn/bills/2011-2012/HF1381/,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,AL SJR 153,1,Negative,1,1,1,,2011,5/31/11,Legislative Resolution,Failed - Adjourned,,1,http://openstates.org/al/bills/2011rs/SJR153/,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,IN S 373,1,Negative,3,1,1,,2012,1/9/12,Common Core State Standards,Failed,,1,http://openstates.org/in/bills/2012/SB373/,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,SD H 1128,1,Negative,15,0.93333,0.86666,,2012,1/23/12,Board of Education Hearings,Enacted,3/2/12,3,http://openstates.org/sd/bills/2012/HB1128/,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,MN H 1847,1,Negative,1,1,1,,2012,1/24/12,Education,Failed,,1,http://openstates.org/mn/bills/2011-2012/HF1847/,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,GA S 364,1,Negative,6,1,1,,2012,1/31/12,Educational Programs,Failed,,1,http://openstates.org/ga/bills/2011_12/SB364/,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY H 39,1,Negative,2,1,1,,2012,1/31/12,High School Graduation Requirements,Failed,,1,http://openstates.org/wy/bills/2012/HB39/,1,,1,,,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Indiana,IN SR 25,1,Negative,1,1,1,,2012,2/1/12,Interim Study Committee on Common Core Standards,Failed,,1,http://openstates.org/in/bills/2012/SR25/,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,MN S 1656,1,Negative,4,0.75,0.5,,2012,2/2/12,Education,Vetoed,4/30/12,2,http://openstates.org/mn/bills/2011-2012/SF1656/,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,OK H 2461,1,Negative,1,1,1,,2012,2/6/12,Schools,Failed,,1,http://openstates.org/ok/bills/2011-2012/HB2461/,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,OK H 2624,1,Negative,1,1,1,,2012,2/6/12,Schools,Failed,,1,http://openstates.org/ok/bills/2011-2012/HB2624/,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,MO H 1708,1,Negative,5,1,1,,2012,2/9/12,Common Core Standards Initiative,Failed,,1,http://openstates.org/mo/bills/2012/HB1708/,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,MO HCR 34,1,Negative,5,1,1,,2012,2/9/12,Common Core Standards,Failed,,1,http://openstates.org/mo/bills/2012/HCR34/,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,IN SR 38,1,Negative,4,1,1,,2012,2/16/12,Study Committee on Common Core State Standards,Enacted,2/28/12,3,http://openstates.org/in/bills/2012/SR38/,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,AK H 330,1,Negative,1,1,1,,2012,2/17/12,State Education Standards,Failed,,1,http://openstates.org/ak/bills/27/HB330/,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,UT S 287,1,Negative,1,1,1,,2012,2/27/12,Core Curriculum Standards Amendments,Enacted,3/15/12,3,http://openstates.org/ut/bills/2012/SB287/,1,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,AL SJR 49,1,Negative,9,1,1,,2012,3/15/12,"Legislative Resolution Encouraging Control over academic standards, curriculum, instruction, and testing",Failed,,1,http://openstates.org/al/bills/2012rs/SJR49/,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,MI H 5894,1,Negative,3,1,1,,2012,9/12/12,Core Standards,Failed,,1,http://openstates.org/mi/bills/2011-2012/HB5894/,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
